"AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","League","Division","PutOuts","Assists","Errors","Salary","NewLeague"
458,158,2,93,28,14,14,8759,1130,94,30,1659,198,"N","W",276,206,5,950,"N"
419,168,6,77,24,35,17,509,610,140,101,123,925,"A","E",131,8,10,NA,"A"
473,122,11,70,78,73,4,479,120,83,338,177,63,"A","W",425,122,29,100,"N"
338,168,1,26,18,41,13,884,220,29,164,198,63,"N","E",73,459,19,775,"A"
641,118,21,38,29,15,24,694,2130,9,419,96,286,"N","E",145,62,15,202.5,"N"
208,10,2,84,28,30,10,4704,270,115,365,909,33,"N","E",1182,6,20,75,"A"
439,83,16,63,62,39,7,2796,42,23,201,1289,219,"N","W",222,0,5,600,"N"
507,82,33,69,43,30,10,8759,1575,347,41,289,99,"N","E",295,149,12,305,"A"
220,147,9,65,0,39,9,2816,377,41,544,16,155,"A","W",259,157,7,70,"N"
585,57,14,27,18,26,16,2303,815,32,50,69,76,"A","W",303,7,8,750,"A"
561,200,13,95,44,32,15,312,167,43,196,149,180,"N","W",119,6,7,450,"N"
522,78,8,24,23,43,15,805,1954,17,82,351,45,"A","E",0,205,3,1237.5,"N"
486,163,12,50,56,36,4,1568,238,52,1008,94,23,"A","W",106,2,3,400,"N"
589,161,13,77,78,53,3,1924,1478,7,291,119,106,"N","W",51,127,15,580,"A"
336,53,12,32,41,70,7,2140,968,24,1175,48,819,"N","W",0,80,4,130,"N"
343,39,4,89,15,43,3,3368,260,56,297,226,1087,"N","E",226,10,0,425,"N"
508,127,18,23,50,97,6,618,218,63,118,44,4,"A","W",352,12,6,75,"N"
183,141,2,108,47,43,11,2325,880,12,72,114,452,"A","W",172,56,0,NA,"N"
220,61,21,93,76,16,3,592,857,1,48,666,644,"N","E",228,58,4,115,"N"
472,7,27,38,51,7,16,1624,120,194,45,29,564,"N","W",316,1,5,475,"A"
346,59,21,30,27,54,1,1354,227,6,545,82,221,"N","E",106,9,22,105,"N"
459,49,7,43,44,30,1,6631,149,1,338,167,14,"N","E",243,8,0,580,"A"
232,210,21,34,37,32,17,926,260,14,80,12,71,"N","E",107,8,11,180,"N"
330,108,6,47,29,87,1,3327,148,1,249,222,48,"N","E",280,442,4,1350,"A"
540,72,27,45,36,84,2,7472,44,103,68,1050,469,"A","E",149,2,3,145,"N"
419,61,0,42,23,9,13,396,657,42,420,342,298,"A","E",483,257,0,385,"N"
298,71,4,26,23,18,6,5628,164,194,505,94,249,"N","E",295,45,3,NA,"N"
424,136,0,24,33,29,4,9528,290,9,246,428,20,"N","W",325,10,5,NA,"A"
289,139,20,77,23,61,14,707,101,155,106,414,1342,"A","E",659,453,3,800,"A"
336,113,14,13,39,62,3,214,172,3,118,1210,414,"N","E",697,10,7,100,"N"
542,151,7,20,29,39,3,4338,209,153,82,477,171,"N","E",446,104,6,940,"A"
587,131,6,50,45,41,12,293,351,45,27,43,63,"N","W",157,43,2,87.5,"N"
278,95,5,42,116,44,3,5590,260,3,156,707,334,"N","W",320,218,9,100,"A"
244,54,18,30,55,74,7,2695,1478,74,1082,304,69,"A","E",102,9,9,875,"N"
616,137,6,35,3,53,6,7127,1634,36,1003,661,925,"N","W",259,292,5,NA,"A"
593,94,5,47,84,11,9,1810,283,235,247,55,854,"A","W",86,9,8,265,"A"
407,96,18,70,18,17,8,5562,408,70,279,126,136,"A","E",70,308,18,250,"A"
208,54,2,19,58,52,3,1367,66,25,349,325,820,"A","W",222,475,10,100,"A"
408,159,25,32,29,69,5,7546,329,58,38,77,55,"A","W",149,226,17,110,"A"
618,69,5,76,37,52,7,876,398,1,369,119,258,"A","W",37,6,13,NA,"A"
307,104,5,26,29,78,10,912,59,16,557,401,325,"A","W",45,5,3,1050,"N"
474,96,4,43,52,56,4,2268,1906,22,150,311,80,"N","E",211,39,9,1183.333,"N"
220,158,8,82,32,27,6,341,149,0,272,977,7,"A","W",244,4,9,NA,"A"
677,112,23,35,39,22,12,33,610,90,82,4,334,"N","W",286,283,17,100,"N"
503,131,16,27,47,12,11,2695,236,24,262,139,697,"A","E",211,0,3,NA,"A"
315,68,30,70,25,78,14,1928,821,61,242,279,298,"A","E",153,43,4,550,"A"
512,92,0,31,68,60,13,4479,13,32,1070,627,52,"N","E",255,104,3,600,"A"
663,131,7,71,42,55,5,3400,1839,181,156,430,469,"N","W",135,84,4,70,"A"
289,174,16,45,38,35,13,932,467,32,178,103,32,"N","W",97,45,20,NA,"A"
572,36,6,33,22,62,14,3742,244,1,106,1348,332,"A","W",181,4,8,95,"N"
